MSSubClass,MSZoning,LotArea,LotShape,LotConfig,LandSlope,OverallQual,YearBuilt,MasVnrArea,ExterQual,BsmtExposure
60,RL,8450,Reg,Inside,Gtl,7,2003,196,Gd,No
20,RL,9600,Reg,FR2,Gtl,6,1976,0,TA,Gd
60,RL,11250,IR1,Inside,Gtl,7,2001,162,Gd,Mn
70,RL,9550,IR1,Corner,Gtl,7,1915,0,TA,No
60,RL,14260,IR1,FR2,Gtl,8,2000,350,Gd,Av
50,RL,14115,IR1,Inside,Gtl,5,1993,0,TA,No
20,RL,10084,Reg,Inside,Gtl,8,2004,186,Gd,Av
60,RL,10382,IR1,Corner,Gtl,7,1973,240,TA,Mn
50,RM,6120,Reg,Inside,Gtl,7,1931,0,TA,No
190,RL,7420,Reg,Corner,Gtl,5,1939,0,TA,No
20,RL,11200,Reg,Inside,Gtl,5,1965,0,TA,No
60,RL,11924,IR1,Inside,Gtl,9,2005,286,Ex,No
20,RL,12968,IR2,Inside,Gtl,5,1962,0,TA,No
20,RL,10652,IR1,Inside,Gtl,7,2006,306,Gd,Av
20,RL,10920,IR1,Corner,Gtl,6,1960,212,TA,No
45,RM,6120,Reg,Corner,Gtl,7,1929,0,TA,No
20,RL,11241,IR1,CulDSac,Gtl,6,1970,180,TA,No
90,RL,10791,Reg,Inside,Gtl,4,1967,0,TA,NA
20,RL,13695,Reg,Inside,Gtl,5,2004,0,TA,No
20,RL,7560,Reg,Inside,Gtl,5,1958,0,TA,No
60,RL,14215,IR1,Corner,Gtl,8,2005,380,Gd,Av
45,RM,7449,Reg,Inside,Gtl,7,1930,0,TA,No
20,RL,9742,Reg,Inside,Gtl,8,2002,281,Gd,No
120,RM,4224,Reg,Inside,Gtl,5,1976,0,TA,No
20,RL,8246,IR1,Inside,Gtl,5,1968,0,TA,Mn
20,RL,14230,Reg,Corner,Gtl,8,2007,640,Gd,No
20,RL,7200,Reg,Corner,Gtl,5,1951,0,TA,Mn
20,RL,11478,Reg,Inside,Gtl,8,2007,200,Gd,No
20,RL,16321,IR1,CulDSac,Gtl,5,1957,0,TA,Gd
30,RM,6324,IR1,Inside,Gtl,4,1927,0,TA,No
